,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Loan_Status,Credit_History,Gender_Male,Self_Employed_Yes,Education_Not Graduate,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
1,4583,1508.0,128.0,360.0,N,1.0,True,False,False,True,False,True,False,False,True,False,False
2,3000,0.0,66.0,360.0,Y,1.0,True,True,False,True,True,False,False,False,False,False,True
3,2583,2358.0,120.0,360.0,Y,1.0,True,False,True,True,True,False,False,False,False,False,True
4,6000,0.0,141.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,False,True
6,2333,1516.0,95.0,360.0,Y,1.0,True,False,True,True,True,False,False,False,False,False,True
7,3036,2504.0,158.0,360.0,N,0.0,True,False,False,True,False,False,False,True,False,True,False
8,4006,1526.0,168.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,False,True
10,3200,700.0,70.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,False,True
11,2500,1840.0,109.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,False,True
12,3073,8106.0,200.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,False,True
13,1853,2840.0,114.0,360.0,N,1.0,True,False,False,False,True,False,False,False,True,False,False
14,1299,1086.0,17.0,120.0,Y,1.0,True,False,False,True,False,False,True,False,False,False,True
15,4950,0.0,125.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,False,True
17,3510,0.0,76.0,360.0,N,0.0,False,False,False,False,True,False,False,False,False,False,True
18,4887,0.0,133.0,360.0,N,1.0,True,False,True,True,True,False,False,False,True,False,False
20,7660,0.0,104.0,360.0,N,0.0,True,False,True,True,True,False,False,False,False,False,True
22,2600,1911.0,116.0,360.0,N,0.0,True,False,True,True,True,False,False,False,False,True,False
25,9560,0.0,191.0,360.0,Y,1.0,True,True,False,True,True,False,False,False,False,True,False
26,2799,2253.0,122.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
27,4226,1040.0,110.0,360.0,Y,1.0,True,False,True,True,False,False,True,False,False,False,True
28,1442,0.0,35.0,360.0,N,1.0,True,False,True,False,True,False,False,False,False,False,True
29,3750,2083.0,120.0,360.0,Y,1.0,False,False,False,False,False,False,True,False,False,True,False
31,3167,0.0,74.0,360.0,N,1.0,True,False,False,False,True,False,False,False,False,False,True
32,4692,0.0,106.0,360.0,N,1.0,True,True,False,False,False,True,False,False,True,False,False
33,3500,1667.0,114.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
37,3667,1459.0,144.0,360.0,Y,1.0,False,False,False,True,True,False,False,False,False,True,False
38,4166,7210.0,184.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,False,True
39,3748,1668.0,110.0,360.0,Y,1.0,True,False,True,False,True,False,False,False,False,True,False
40,3600,0.0,80.0,360.0,N,1.0,True,False,False,False,True,False,False,False,False,False,True
41,1800,1213.0,47.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,False,True
43,3941,2336.0,134.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
46,5649,0.0,44.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,False,False,True
47,5821,0.0,144.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,False,True
48,2645,3440.0,120.0,360.0,N,0.0,False,False,False,True,True,False,False,False,False,False,True
49,4000,2275.0,144.0,360.0,Y,1.0,False,False,False,False,True,False,False,False,False,True,False
50,1928,1644.0,100.0,360.0,Y,1.0,False,False,True,True,True,False,False,False,False,True,False
51,3086,0.0,120.0,360.0,Y,1.0,False,False,False,False,True,False,False,False,False,True,False
52,4230,0.0,112.0,360.0,N,1.0,False,False,False,False,True,False,False,False,False,True,False
53,4616,0.0,134.0,360.0,N,1.0,True,False,False,True,False,False,True,False,False,False,True
55,2708,1167.0,97.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,True,False
56,2132,1591.0,96.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
57,3366,2200.0,135.0,360.0,N,1.0,True,False,False,True,True,False,False,False,True,False,False
58,8080,2250.0,180.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,False,False,True
59,3357,2859.0,144.0,360.0,Y,1.0,True,False,True,True,False,False,True,False,False,False,True
60,2500,3796.0,120.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,False,True
61,3029,0.0,99.0,360.0,Y,1.0,True,False,False,True,False,False,False,True,False,False,True
62,2609,3449.0,165.0,180.0,N,0.0,True,True,True,True,True,False,False,False,True,False,False
64,4166,0.0,116.0,360.0,N,0.0,False,False,False,False,True,False,False,False,False,True,False
65,5726,4595.0,258.0,360.0,N,1.0,True,False,False,True,True,False,False,False,False,True,False
66,3200,2254.0,126.0,180.0,N,0.0,True,False,True,False,True,False,False,False,False,False,True
68,7100,0.0,125.0,60.0,Y,1.0,True,True,True,True,False,False,False,True,False,False,True
69,4300,0.0,136.0,360.0,N,0.0,False,False,False,False,True,False,False,False,False,True,False
70,3208,3066.0,172.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,False,True
71,1875,1875.0,97.0,360.0,Y,1.0,True,True,True,True,False,False,True,False,False,True,False
72,3500,0.0,81.0,300.0,Y,1.0,True,False,False,False,True,False,False,False,False,True,False
74,5266,1774.0,187.0,360.0,Y,1.0,True,True,False,True,False,False,False,True,False,True,False
75,3750,0.0,113.0,480.0,N,1.0,True,False,False,False,True,False,False,False,False,False,True
76,3750,4750.0,176.0,360.0,N,1.0,True,False,False,False,True,False,False,False,False,False,True
77,1000,3022.0,110.0,360.0,N,1.0,True,True,False,True,False,True,False,False,False,False,True
78,3167,4000.0,180.0,300.0,N,0.0,True,False,False,True,False,False,False,True,False,True,False
80,3846,0.0,111.0,360.0,Y,1.0,False,False,False,False,True,False,False,False,False,True,False
82,1378,1881.0,167.0,360.0,N,1.0,False,False,False,True,False,False,True,False,False,False,True
84,3988,0.0,50.0,240.0,Y,1.0,True,False,False,True,False,True,False,False,False,False,True
85,2366,2531.0,136.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,True,False
87,2500,2118.0,104.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
88,8566,0.0,210.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,False,True
89,5695,4167.0,175.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
90,2958,2900.0,131.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
91,6250,5654.0,188.0,180.0,Y,1.0,True,False,False,True,False,False,True,False,False,True,False
92,3273,1820.0,81.0,360.0,Y,1.0,True,False,True,True,False,False,True,False,False,False,True
93,4133,0.0,122.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,True,False
94,3620,0.0,25.0,120.0,Y,1.0,True,False,True,False,True,False,False,False,False,True,False
96,2484,2302.0,137.0,360.0,Y,1.0,False,False,False,True,True,False,False,False,False,True,False
97,1977,997.0,50.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
98,4188,0.0,115.0,180.0,Y,1.0,True,False,True,True,True,False,False,False,False,True,False
99,1759,3541.0,131.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
100,4288,3263.0,133.0,180.0,Y,1.0,True,False,True,True,False,False,True,False,False,False,True
101,4843,3806.0,151.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,True,False
105,3052,1030.0,100.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,False,False,True
106,11417,1126.0,225.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,False,True
107,7333,0.0,120.0,360.0,N,1.0,True,False,True,False,True,False,False,False,True,False,False
108,3800,3600.0,216.0,360.0,N,0.0,True,False,False,True,False,False,True,False,False,False,True
109,2071,754.0,94.0,480.0,Y,1.0,True,False,True,True,False,False,False,True,False,True,False
110,5316,0.0,136.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,False,True
111,2929,2333.0,139.0,360.0,Y,1.0,False,False,False,True,True,False,False,False,False,True,False
114,5050,0.0,118.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,True,False
115,14583,0.0,185.0,180.0,Y,1.0,True,False,False,True,False,True,False,False,True,False,False
116,3167,2283.0,154.0,360.0,Y,1.0,False,False,False,True,True,False,False,False,False,True,False
118,5568,2142.0,175.0,360.0,N,1.0,True,False,False,True,True,False,False,False,True,False,False
119,10408,0.0,259.0,360.0,Y,1.0,False,False,False,False,True,False,False,False,False,False,True
120,5667,2667.0,180.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,True,False,False
121,4166,0.0,44.0,360.0,Y,1.0,False,False,False,False,True,False,False,False,False,True,False
122,2137,8980.0,137.0,360.0,Y,0.0,False,False,False,False,True,False,False,False,False,True,False
123,2957,0.0,81.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,True,False
124,4300,2014.0,194.0,360.0,Y,1.0,True,False,True,True,True,False,False,False,True,False,False
128,10513,3850.0,160.0,180.0,N,0.0,True,True,False,True,False,True,False,False,False,False,True
131,2014,1929.0,74.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,False,True
132,2718,0.0,70.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,True,False
133,3459,0.0,25.0,120.0,Y,1.0,True,True,False,True,True,False,False,False,False,True,False
134,4895,0.0,102.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,True,False
136,4583,0.0,84.0,360.0,N,1.0,False,False,False,True,True,False,False,False,True,False,False
137,3316,3500.0,88.0,360.0,Y,1.0,True,True,False,True,False,False,True,False,False,False,True
138,14999,0.0,242.0,360.0,N,0.0,True,False,False,False,True,False,False,False,False,True,False
139,4200,1430.0,129.0,360.0,N,1.0,True,False,True,True,False,False,True,False,True,False,False
140,5042,2083.0,185.0,360.0,N,1.0,True,False,False,True,False,False,True,False,True,False,False
141,5417,0.0,168.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,False,True
142,6950,0.0,175.0,180.0,Y,1.0,True,True,False,False,True,False,False,False,False,True,False
143,2698,2034.0,122.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
144,11757,0.0,187.0,180.0,Y,1.0,True,False,False,True,False,False,True,False,False,False,True
145,2330,4486.0,100.0,360.0,Y,1.0,False,False,False,True,True,False,False,False,False,True,False
146,14866,0.0,70.0,360.0,Y,1.0,False,False,False,True,False,False,True,False,False,False,True
147,1538,1425.0,30.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,False,False,True
148,10000,1666.0,225.0,360.0,N,1.0,False,False,False,False,True,False,False,False,True,False,False
149,4860,830.0,125.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
150,6277,0.0,118.0,360.0,N,0.0,True,False,False,False,True,False,False,False,True,False,False
151,2577,3750.0,152.0,360.0,Y,1.0,True,True,False,True,True,False,False,False,True,False,False
152,9166,0.0,244.0,360.0,N,1.0,True,False,False,False,True,False,False,False,False,False,True
153,2281,0.0,113.0,360.0,N,1.0,True,False,True,True,False,False,True,False,True,False,False
154,3254,0.0,50.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,False,True
157,9538,0.0,187.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,False,False,True
158,2980,2083.0,120.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,True,False,False
159,4583,5625.0,255.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
160,1863,1041.0,98.0,360.0,Y,1.0,True,False,True,True,True,False,False,False,False,True,False
162,3089,1280.0,121.0,360.0,N,0.0,True,False,False,True,False,True,False,False,False,True,False
163,4167,1447.0,158.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,True,False,False
164,9323,0.0,75.0,180.0,Y,1.0,True,False,False,True,True,False,False,False,False,False,True
166,4583,0.0,112.0,360.0,N,1.0,False,False,False,True,True,False,False,False,True,False,False
167,2439,3333.0,129.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,True,False,False
168,2237,0.0,63.0,480.0,N,0.0,True,False,False,False,True,False,False,False,False,True,False
169,8000,0.0,200.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,True,False
170,1820,1769.0,95.0,360.0,Y,1.0,True,False,True,True,True,False,False,False,True,False,False
172,3522,0.0,81.0,180.0,N,1.0,True,False,True,True,False,False,False,True,True,False,False
173,5708,5625.0,187.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
174,4344,736.0,87.0,360.0,N,1.0,True,True,True,True,True,False,False,False,False,True,False
175,3497,1964.0,116.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,True,False,False
176,2045,1619.0,101.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,True,False,False
178,3750,0.0,116.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,False,True,False
179,2333,1451.0,102.0,480.0,N,0.0,True,False,True,False,True,False,False,False,False,False,True
180,6400,7250.0,180.0,360.0,N,0.0,True,False,False,True,False,True,False,False,False,False,True
182,4600,0.0,73.0,180.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
183,33846,0.0,260.0,360.0,N,1.0,True,False,False,True,False,True,False,False,False,True,False
184,3625,0.0,108.0,360.0,Y,1.0,False,False,False,True,True,False,False,False,False,True,False
185,39147,4750.0,120.0,360.0,Y,1.0,True,True,False,True,True,False,False,False,False,True,False
186,2178,0.0,66.0,300.0,N,0.0,True,True,False,True,False,True,False,False,True,False,False
189,9328,0.0,188.0,180.0,Y,1.0,True,False,False,True,True,False,False,False,True,False,False
190,4885,0.0,48.0,360.0,Y,1.0,True,False,True,False,True,False,False,False,True,False,False
191,12000,0.0,164.0,360.0,N,1.0,True,False,False,False,True,False,False,False,False,True,False
192,6033,0.0,160.0,360.0,N,1.0,True,False,True,True,True,False,False,False,False,False,True
193,3858,0.0,76.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,True,False
194,4191,0.0,120.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,True,False,False
195,3125,2583.0,170.0,360.0,N,1.0,True,False,False,True,False,True,False,False,False,True,False
196,8333,3750.0,187.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,True,False,False
199,11000,0.0,83.0,360.0,N,1.0,True,True,False,False,True,False,False,False,False,False,True
200,2600,2500.0,90.0,360.0,Y,1.0,True,False,True,True,False,True,False,False,False,True,False
201,4923,0.0,166.0,360.0,Y,0.0,True,False,False,False,False,False,True,False,False,True,False
203,3500,1083.0,135.0,360.0,Y,1.0,True,False,True,True,False,True,False,False,False,False,True
204,3917,0.0,124.0,360.0,Y,1.0,True,False,True,True,False,False,True,False,False,True,False
205,4408,0.0,120.0,360.0,Y,1.0,False,False,True,False,True,False,False,False,False,True,False
206,3244,0.0,80.0,360.0,Y,1.0,False,False,False,False,True,False,False,False,False,False,True
207,3975,2531.0,55.0,360.0,Y,1.0,True,False,True,False,True,False,False,False,True,False,False
208,2479,0.0,59.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,False,True
209,3418,0.0,127.0,360.0,N,1.0,True,False,False,False,True,False,False,False,False,True,False
210,10000,0.0,214.0,360.0,N,1.0,False,False,False,False,True,False,False,False,False,True,False
211,3430,1250.0,128.0,360.0,N,0.0,True,False,False,True,False,False,False,True,False,True,False
212,7787,0.0,240.0,360.0,Y,1.0,True,True,False,True,False,True,False,False,False,False,True
213,5703,0.0,130.0,360.0,Y,1.0,True,True,True,True,False,False,False,True,True,False,False
214,3173,3021.0,137.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,False,True
215,3850,983.0,100.0,360.0,Y,1.0,True,False,True,True,False,False,False,True,False,True,False
216,150,1800.0,135.0,360.0,N,1.0,True,False,False,True,True,False,False,False,True,False,False
217,3727,1775.0,131.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
218,5000,0.0,72.0,360.0,N,0.0,True,False,False,True,False,False,True,False,False,True,False
220,2221,0.0,60.0,360.0,N,0.0,True,False,False,True,True,False,False,False,False,False,True
221,4009,1717.0,116.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,True,False
222,2971,2791.0,144.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,True,False
224,6250,0.0,128.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
225,3250,0.0,170.0,360.0,N,1.0,True,False,False,True,True,False,False,False,True,False,False
226,4735,0.0,138.0,360.0,N,1.0,True,True,True,True,True,False,False,False,False,False,True
227,6250,1695.0,210.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,True,False
229,6400,0.0,200.0,360.0,Y,1.0,True,True,False,False,True,False,False,False,True,False,False
230,2491,2054.0,104.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,False,True,False
231,3716,0.0,42.0,180.0,Y,1.0,True,False,False,True,True,False,False,False,True,False,False
234,3155,1779.0,140.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,False,True,False
235,5500,1260.0,170.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,True,False,False
238,3812,0.0,112.0,360.0,Y,1.0,False,False,False,False,False,True,False,False,True,False,False
239,3315,0.0,96.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,False,True,False
240,5819,5000.0,120.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,True,False,False
241,2510,1983.0,140.0,180.0,N,1.0,True,False,True,True,False,True,False,False,False,False,True
242,2965,5701.0,155.0,60.0,Y,1.0,True,False,False,False,True,False,False,False,False,False,True
243,6250,1300.0,108.0,360.0,Y,1.0,True,True,False,True,False,False,True,False,True,False,False
244,3406,4417.0,123.0,360.0,Y,1.0,True,False,True,True,True,False,False,False,False,True,False
245,6050,4333.0,120.0,180.0,N,1.0,True,True,False,False,True,False,False,False,False,False,True
246,9703,0.0,112.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,False,True
247,6608,0.0,137.0,180.0,Y,1.0,True,False,True,True,False,True,False,False,False,False,True
248,2882,1843.0,123.0,480.0,Y,1.0,True,False,False,True,False,True,False,False,False,True,False
249,1809,1868.0,90.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,False,True
250,1668,3890.0,201.0,360.0,N,0.0,True,False,True,True,True,False,False,False,False,True,False
251,3427,0.0,138.0,360.0,N,1.0,False,False,False,False,False,False,True,False,False,False,True
252,2583,2167.0,104.0,360.0,Y,1.0,True,True,True,False,True,False,False,False,True,False,False
254,16250,0.0,192.0,360.0,N,0.0,True,True,False,False,True,False,False,False,False,False,True
255,3083,0.0,255.0,360.0,Y,1.0,False,False,False,False,False,False,False,True,True,False,False
256,6045,0.0,115.0,360.0,N,0.0,True,False,True,False,True,False,False,False,True,False,False
257,5250,0.0,94.0,360.0,N,1.0,True,False,False,True,False,False,False,True,False,False,True
261,2060,2209.0,134.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,True,False
262,3481,0.0,155.0,36.0,N,1.0,False,False,False,False,False,True,False,False,False,True,False
263,7200,0.0,120.0,360.0,Y,1.0,False,False,False,False,True,False,False,False,True,False,False
264,5166,0.0,128.0,360.0,Y,1.0,True,True,False,False,True,False,False,False,False,True,False
265,4095,3447.0,151.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,True,False,False
266,4708,1387.0,150.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,True,False
267,4333,1811.0,160.0,360.0,Y,0.0,True,False,False,True,False,False,False,True,False,False,True
268,3418,0.0,135.0,360.0,N,1.0,False,False,False,False,True,False,False,False,True,False,False
269,2876,1560.0,90.0,360.0,Y,1.0,False,False,False,False,False,True,False,False,False,False,True
270,3237,0.0,30.0,360.0,Y,1.0,False,False,False,False,True,False,False,False,False,False,True
271,11146,0.0,136.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,False,True
272,2833,1857.0,126.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,True,False,False
273,2620,2223.0,150.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
274,3900,0.0,90.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,True,False
275,2750,1842.0,115.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,False,True,False
276,3993,3274.0,207.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
277,3103,1300.0,80.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,False,True
280,4053,2426.0,158.0,360.0,N,0.0,True,True,True,False,False,True,False,False,False,False,True
281,3927,800.0,112.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
282,2301,985.7999878,78.0,180.0,Y,1.0,True,False,False,True,False,False,True,False,False,False,True
283,1811,1666.0,54.0,360.0,Y,1.0,False,False,False,False,True,False,False,False,False,False,True
285,3158,3053.0,89.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,True,False,False
286,2600,1717.0,99.0,300.0,N,1.0,False,True,False,False,True,False,False,False,False,True,False
287,3704,2000.0,120.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,True,False,False
288,4124,0.0,115.0,360.0,Y,1.0,False,False,False,False,True,False,False,False,False,True,False
289,9508,0.0,187.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,True,False,False
290,3075,2416.0,139.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,True,False,False
291,4400,0.0,127.0,360.0,N,0.0,True,False,False,True,False,False,True,False,False,True,False
292,3153,1560.0,134.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,False,True
293,5417,0.0,143.0,480.0,N,0.0,False,False,False,False,True,False,False,False,False,False,True
294,2383,3334.0,172.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
295,4416,1250.0,110.0,360.0,Y,1.0,True,False,False,True,False,False,False,True,False,False,True
296,6875,0.0,200.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,False,True,False
297,4666,0.0,135.0,360.0,Y,1.0,False,False,False,True,False,True,False,False,False,False,True
298,5000,2541.0,151.0,480.0,N,1.0,False,False,False,False,True,False,False,False,True,False,False
299,2014,2925.0,113.0,360.0,N,1.0,True,False,False,True,False,True,False,False,False,False,True
300,1800,2934.0,93.0,360.0,N,0.0,True,False,True,True,True,False,False,False,False,False,True
